,,8,Mr. Sayyed Ahmad Masud CEO Change Mechanics,245,,
,,8,Mr. Sayyed Ahmad Masud CEO Change Mechanics,327,,
,,8,Mr. Sayyed Ahmad Masud CEO Change Mechanics,338,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",62,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",78,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",92,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",119,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",129,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",133,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",190,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",212,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",313,,
,,9,"Mr. Khalid Khan Chairman, Central Asia Cellular Forum",339,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",62,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",78,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",92,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",119,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",129,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",133,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",190,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",212,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",313,,
,,10,"Mr. Habil Ahmed Khan Director Operations, Welt Konnect Pvt. Ltd",339,,
,,11,NSTP,62,,
,,11,NSTP,78,,
,,11,NSTP,92,,
,,11,NSTP,119,,
,,11,NSTP,129,,
,,11,NSTP,133,,
,,11,NSTP,190,,
,,11,NSTP,212,,
,,11,NSTP,313,,
,,11,NSTP,339,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",63,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",67,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",80,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",83,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",124,,
